Video-20220107_031200-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220108_031809-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220111_032058-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220112_031758-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220113_031216-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220114_032850-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220118_031739-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220120_031832-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220121_031310-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220124_030851-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220125_024843-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220126_024118-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220127_025434-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220128_031348-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220202_030849-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220203_032054-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220207_023618-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220208_025751-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220209_031006-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220210_031946-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220214_031404-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220216_025553-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220216_030352-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220217_030002-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220218_030626-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220223_030347-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220224_030106-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220301_025727-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220302_030432-Meeting Recording (1).mp4  lines= x; shlokas= y
Video-20220303_030030-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220303_030432-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220304_033250-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220308_025506-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220308_025847-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220309_025847-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220310_032559-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220314_025108-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220315_020210-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220316_020704-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220318_023422-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220321_033804-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220322_030525-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220323_030617-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220324_030617-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220328_020825-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220329_014916-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220330_015057-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220331_014935-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220404_014002-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220405_013835-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220406_014440-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220407_015255-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220412_014501-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220418_014525-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220419_012255-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220422_014931-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220425_013501-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220426_013634-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220427_013939-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220428_014134-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220429_013911-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220502_013336-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220503_013523-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220505_014552-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220506a_014543-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220506b_011234-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220509_013201-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220510_010545-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220512_014436-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220516_005602-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220517_005555-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220518_005721-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220520_005848-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220523_010909-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220525_011232-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220526_010910-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220530_011948-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220531_010457-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220601_011456-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220602_010256-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220603_012735-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220606_010755-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220607_011050-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220610_010516-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220613_010442-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220614_010659-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220616_011851-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220617_004216-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220620_010529-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220622_010847-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220623_011435-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220624_010155-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220628a_011016-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220628b_011453-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220712_010455-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220713_011901-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220714_010839-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220718_010900-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220719_012301-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220720_011509-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220721_014112-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220723_011557-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220726_005259-Meeting Recording.mp4  lines= x; shlokas= y
